id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately states that the SLA for processing ticket P1 is 4 hours, which is directly supported by the context provided.",5,The answer directly and fully addresses the query by providing the specific SLA for handling P1 tickets.,5,Retrieved: 1/1 expected sources,2,"The model's answer only mentions the resolution time of 4 hours but omits the initial response time of 15 minutes, which is a significant part of the expected answer.",variant_hybrid_rerank
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,The answer accurately reflects the information in the context regarding the timeframe for requesting a refund.,5,The answer directly and fully addresses the query by specifying the time frame for requesting a refund.,5,Retrieved: 1/1 expected sources,5,The model's answer includes all the important points in the expected answer.,variant_hybrid_rerank
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,The answer accurately reflects the approval requirements for Level 3 access as stated in the context.,5,Answer directly and fully addresses the query by specifying who needs to approve Level 3 access.,5,Retrieved: 1/1 expected sources,5,Model answer includes all key points present in the expected answer.,variant_hybrid_rerank
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",2,"The answer incorrectly states that digital products can be refunded if there is a manufacturer's defect, which contradicts the context that explicitly states digital products are non-refundable.",5,The answer directly and fully addresses the query about the refund policy for digital products.,5,Retrieved: 1/1 expected sources,4,"The model's answer correctly states that digital products are generally non-refundable and mentions exceptions for manufacturer errors, but it misses the specific mention of the types of digital products (license key, subscription) that are non-refundable according to the expected answer.",variant_hybrid_rerank
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp [1].,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer accurately reflects the information provided in the context regarding the account being locked after 5 consecutive failed login attempts.,5,Directly and fully answers the question.,5,Retrieved: 1/1 expected sources,5,The model's answer includes all the important points in the expected answer.,variant_hybrid_rerank
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau: On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động. Tất cả quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the escalation process for P1 incidents as described in the context, without adding any information not present in the provided text.",5,"The answer directly and fully addresses the query about how escalation occurs in a P1 incident, providing specific details about the process.",5,Retrieved: 1/1 expected sources,2,"The model's answer focuses on the temporary permission process for on-call IT Admins but does not mention the automatic escalation of the P1 ticket to a Senior Engineer if there is no response within 10 minutes, which is a key point in the expected answer.",variant_hybrid_rerank
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,Approval Matrix để cấp quyền hệ thống là tài liệu quy định quy trình cấp phép truy cập vào các hệ thống nội bộ của công ty [1].,Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,1,"The answer introduces the term 'Approval Matrix' which is not mentioned in the provided context, indicating significant information not present in the context.",5,The answer directly and fully addresses the query by explaining what the Approval Matrix is in the context of granting system access.,5,Retrieved: 1/1 expected sources,2,The model's answer provides a general description of the Approval Matrix but fails to mention the current name change to 'Access Control SOP' and does not specify the document's title.,variant_hybrid_rerank
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,The answer accurately reflects the information in the context regarding the maximum number of remote work days allowed for employees.,5,Directly and fully answers the question.,5,Retrieved: 1/1 expected sources,3,The model's answer provides the maximum number of remote days but misses the important detail about the probation period and the requirement for Team Lead approval.,variant_hybrid_rerank
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,"The answer 'Tôi không biết' does not provide any information relevant to the context and does not address the question about not receiving emails from outside, which is specifically covered in the context.",1,The answer does not address the query at all.,,No expected sources,1,"The model's answer does not provide any relevant information about the ERR-403-AUTH error or how to handle it, missing all key points from the expected answer.",variant_hybrid_rerank
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không có thông tin nào trong bối cảnh cho thấy quy trình hoàn tiền khẩn cấp cho khách hàng VIP khác với quy trình thông thường. Do đó, tôi không biết.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,"The answer accurately reflects the context provided, stating that there is no information about a different refund process for VIP customers, which is consistent with the context.",3,"The answer is relevant but does not directly address whether the process for urgent refunds for VIP customers is different, as it states there is no information available.",5,Retrieved: 1/1 expected sources,3,"The model's answer acknowledges the lack of information regarding a special process for VIP customers but does not mention the specific timeframe of 3-5 working days for standard refund requests, which is an important detail in the expected answer.",variant_hybrid_rerank
